YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-12,WEEKDAY,8,TRAIN,TE18,2159,12810
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,TE18,753,1663
2023-12,WEEKDAY,6,TRAIN,BP13,3241,390
2023-12,WEEKENDS/HOLIDAY,6,TRAIN,BP13,543,131
2023-12,WEEKDAY,23,TRAIN,EW8/CC9,12530,10801
2023-12,WEEKENDS/HOLIDAY,23,TRAIN,EW8/CC9,6864,6625
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,SW2,2709,1452
2023-12,WEEKDAY,9,TRAIN,SW2,5106,2520
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CC4/DT15,22873,4378
2023-12,WEEKDAY,21,TRAIN,CC4/DT15,40858,4228
2023-12,WEEKDAY,13,TRAIN,CC19/DT9,6163,6307
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,5802,5179
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,DT23,977,1792
2023-12,WEEKDAY,8,TRAIN,DT23,5429,17584
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,TE12,1150,958
2023-12,WEEKDAY,20,TRAIN,TE12,2533,1531
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,NS15,6654,5550
2023-12,WEEKDAY,14,TRAIN,NS15,14052,12058
2023-12,WEEKDAY,22,TRAIN,NS14,14131,42662
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS14,8917,22126
2023-12,WEEKDAY,21,TRAIN,NS10,15327,50506
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,NS10,8252,24921
2023-12,WEEKDAY,12,TRAIN,DT3,7263,3928
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,DT3,5906,2694
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,DT27,4805,3444
2023-12,WEEKDAY,13,TRAIN,DT27,6279,5900
