RoadName,LineID
STADIUM DRIVE,"116002628"
STADIUM DRIVE,"116002632"
STADIUM DRIVE,"116002636"
STADIUM DRIVE,"116002640"
OLD TERMINAL LANE,"114000326"
OLD TERMINAL LANE,"114000327"
OLD TERMINAL LANE,"116002330"
STADIUM WAY,"114000390"
STADIUM WAY,"114000391"
STADIUM WAY,"114000394"
STADIUM WAY,"114000395"
STADIUM WAY,"114000398"
STADIUM WAY,"114000399"
STADIUM WAY,"114000402"
STADIUM WAY,"114000403"
